Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,1uF,C15849
"C13, C5",0603,2,100nF,C14663
"C14, C15, C3, C4",1206,4,10uF,C89632
C16,0603,1,2.2uF,C23630
C19,CP_Elec_16x17.5,1,1mF,C2164559
C2,0603,1,470nF,C1623
C6,0603,1,5.1pF,C61816
D1,D_SMC,1,SMCJ40CA,C80273
D2,0603,1,GREEN,C12065
J1,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Motor Power,C8465
J3,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",1,12V ESP CAN,C466970
J4,CONN_SDA-42404_06_MOL,1,Molex 15246060,C563687
L1,L_Wurth_WE-PD-1050P,1,22uH,C2651173
"R1, R2",0603,2,100k,C25803
R3,0603,1,10k,C25804
R4,0603,1,9.1k,C23260
R6,0603,1,100,C22775
U1,Texas_RNP0030B_WQFN-30-1EP_4x6mm_P0.5mm_EP1.8x4.5mm_ThermalVias,1,LM76003,C470958
