Designator,Mid X,Mid Y,Rotation,Layer
C21,128.13,-137.655,270.0,top
C22,122.19,-130.255,90.0,top
C23,131.640565,-130.129364,90.0,top
C24,138.01,-113.735,270.0,top
C25,129.760565,-130.424364,90.0,top
C26,125.89,-136.915,180.0,top
C27,120.720565,-133.989364,270.0,top
C28,135.360565,-128.654364,270.0,top
C29,137.670565,-128.654364,270.0,top
C30,122.19,-133.215,270.0,top
C39,158.86,-121.02,-90.0,top
D3,170.79,-120.4825,90.0,top
D4,119.26,-133.9825,90.0,top
J21,105.79,-120.5825,270.0,top
J22,179.8625,-120.5875,270.0,top
J23,169.95,-135.0875,0.0,top
L2,127.63,-122.555,0.0,top
R21,133.4,-135.71,0.0,top
R22,125.89,-138.375,180.0,top
R23,117.8,-133.985,90.0,top
R24,122.93,-138.375,180.0,top
R26,129.85,-134.665,90.0,top
U2,126.29,-131.435,270.0,top
